reconciliation_billing_month	invoice_batch_label	source_file	observed_start_month	formal_match_status	numeric_match_status	record_side	charge_type	row_count	distinct_imsi_count	excel_total_final_charge	platform_calculated_amount_known_total	platform_total	platform_total_status	candidate_amount_diff_total	amount_diff_total	amount_abs_diff_total	excel_days_total	platform_days_total	day_diff_total	day_abs_diff_total	platform_days_population	platform_price_population	platform_amount_population	proven_mapping_row_count	proven_mapping_distinct_imsi_count	numeric_match_row_count	numeric_match_distinct_imsi_count	day_exact_row_count	price_exact_row_count	amount_exact_row_count
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge	700	700	43400.0000000000			UNRESOLVED	-13300.000000	-13300.000000	13300.000000	21700.0000000000	21700.0000000000	0E-9	0E-9	700	700	700	0	0	0	0	700	0	0
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_MAPPING	NUMERIC_NOT_COMPARABLE	EXCEL_DETAIL	Full Cycle Charge	27	27	1674.0000000000			UNRESOLVED				837.0000000000	837.0000000000	0E-9	0E-9	27	0	0	0	0	0	0	27	0	0
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Full Cycle Charge	131	131	5861.0000000000			UNRESOLVED	0.000000	0.000000	0.000000	4061.0000000000	4061.0000000000	0E-9	0E-9	131	131	131	0	0	131	131	131	131	131
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	UNRESOLVED	NUMERIC_DIFF	EXCEL_DETAIL	Full Cycle Charge	88	88	2156.0000000000	2156.000000		UNRESOLVED	0.000000	0.000000	0.000000	2728.0000000000	2640.0000000000	-88.000000000	88.000000000	88	88	88	88	88	0	0	0	88	88
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MATCHED	NUMERIC_MATCH	EXCEL_DETAIL	New Activation: Prorated-in Charge	200	200	4340.0000000000	4340.000000	4340.000000	COMPLETE	0.000000	0.000000	0.000000	2100.0000000000	2100.0000000000	0E-9	0E-9	200	200	200	200	200	200	200	200	200	200
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Partial Charge - Card Replaced Mid Cycle	30	30	665.8064516130			UNRESOLVED	0.000000	0.000000	0.000000	480.0000000000	480.0000000000	0E-9	0E-9	30	30	30	30	30	30	30	30	30	30
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_MAPPING	NUMERIC_MATCH	EXCEL_DETAIL	Partial Charge - New Card Used as Replacement Mid Cycle	390	390	13141.0709677407			UNRESOLVED	0.000000	0.000000	0.000000	7182.0000000000	7182.0000000000	0E-9	0E-9	390	390	390	385	385	390	390	390	390	390
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_MAPPING	NUMERIC_DIFF	EXCEL_DETAIL	Partial Charge - New Card Used as Replacement Mid Cycle	12	12	338.6752688172			UNRESOLVED	-57.125807	-57.125807	57.125807	218.0000000000	178.0000000000	-40.000000000	40.000000000	12	12	12	12	12	0	0	0	12	0
2026-05	2026-05	01-SIMO Data Purchase Invoice Details - MAY 2026.xlsx	2026-05	MISSING_DATA	NUMERIC_MATCH	EXCEL_DETAIL	Prorated-out Charge - Offstocked Card	2	2	112.0000000000			UNRESOLVED	0.000000	0.000000	0.000000	56.0000000000	56.0000000000	0E-9	0E-9	2	2	2	2	2	2	2	2	2	2
2026-05				PLATFORM_ONLY		PLATFORM_FACT		14697	8633				UNRESOLVED								0	14697	0	0	0	0	0	0	0	0
