table_catalog	table_schema	table_name	ordinal_position	column_name	data_type	is_nullable	comment	column_count
simo_prod	tc_cdr	sim_status_for_sftp_bak	3	SIM_Product_Threshold	STRING	YES	套餐内可用流量(DSE配置维护),KB	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	4	SIM_Product_Data_Capacity	STRING	YES	卡产品套餐流量 (GB)	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	5	Cycle_Start_Time	STRING	YES	周期开始时间,系统0时区计算	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	6	Cycle_End_Time	STRING	YES	周期结束时间,系统0时区计算	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	7	DispatchStatus	STRING	YES	卡分配状态（Available：可分配 Dispatching：分配中 Dispatched：已分配 Unavailable：不可用 包括 挂起等状态）	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	8	SimStatus	STRING	YES	SimStatus（Installed:白卡 Ready:准备就绪 Depleted:挂起 Cooling：冻结 ..）	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	9	year	INT	YES	分区 年 基于计算时间	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	10	month	INT	YES	分区 月 基于计算时间	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	11	day	INT	YES	分区 日基于计算时间	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	12	hour	INT	YES	分区 小时基于计算时间	14
simo_prod	tc_cdr	sim_status_for_sftp_bak	13	partition_time	STRING	YES	分区时间 格式化到小时维度	14
