local_excel_file	local_relative_path	sheet_name	field_name	field_kind	non_null_count	sum_value	min_value	max_value
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Final End Date	date	12571		2026-02-06	2026-03-29
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Final Start Date	date	12571		2026-02-01	2026-02-28
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	New Activation Date	date	993		2026-02-01	2026-02-28
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Detail Charges	Offstock Date	date	242		2026-02-03	2026-02-28
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Final Charge For Usage Days	amount	359	14688.096774194	18.032258064516128	62.0
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Monthly Rate	amount	359	16957.0	43.0	62.0
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Original Charge in DEC Invoice	amount	359	11345.612903226	16.6451612903226	48.0
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Pending Charge	amount	359	3342.483870968	1.3870967741935019	28.0
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Cycle End Date	date	359		2026-02-03	2026-02-24
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Cycle Start Date	date	359		2026-01-04	2026-01-25
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Final End Date	date	359		2026-02-03	2026-02-24
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	Final Start Date	date	359		2026-01-23	2026-01-31
01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	2026年3月\WingAlpha-2026年3月付；USD693,915.21\01-SIMO Data Purchase Invoice Details - FEB 2026.xlsx	Prorated-In JAN - Pending Charg	New Activation Date	date	359		2026-01-23	2026-01-31
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Final Charge	amount	13081	578406.306451616	-24.357142857142858	62.0
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Monthly Rate	amount	13082	724024.0	21.0	62.0
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Cycle End Date	date	13082		2026-03-17	2026-04-27
01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	2026年4月\WingAlpha-2026年4月付；USD579,471.47\01-SIMO Data Purchase Invoice Details - MAR 2026.xlsx	Detail Charges	Cycle Start Date	date	13082		2026-02-18	2026-03-28
